neighborhood,year_month,total_fire_count,count_fire_building,count_fire_electrical,count_fire_gas,count_fire_water,total_fire_injuries,avg_suppression_units
Inner Richmond,2024-01,5,1,1,2,1,0,1.4
Inner Richmond,2024-02,15,2,11,1,1,0,1.8666666666666667
Inner Richmond,2024-03,4,0,3,0,1,0,1.0
Inner Richmond,2024-04,6,0,3,1,2,0,1.3333333333333333
Inner Richmond,2024-05,1,0,1,0,0,0,1.0
Inner Richmond,2024-06,5,0,3,2,0,0,2.0
Inner Richmond,2024-07,3,0,2,0,1,0,1.0
Inner Richmond,2024-08,5,0,2,2,1,0,1.2
Inner Richmond,2024-09,5,1,3,0,1,0,2.6
Inner Richmond,2024-10,4,3,1,0,0,0,6.75
Inner Richmond,2024-11,7,3,3,1,0,0,4.714285714285714
Inner Richmond,2024-12,8,0,5,1,2,0,1.375
Inner Richmond,2025-01,2,1,1,0,0,0,1.0
Inner Richmond,2025-02,7,0,5,1,1,0,1.4285714285714286
Inner Richmond,2025-03,2,1,1,0,0,1,6.0
Inner Richmond,2025-04,3,2,0,0,1,0,6.333333333333333
Inner Richmond,2025-05,1,0,0,0,1,0,1.0
Inner Richmond,2025-06,7,1,5,0,1,2,6.142857142857143
Inner Richmond,2025-07,3,0,1,0,2,0,1.0
Inner Richmond,2025-08,2,0,1,0,1,0,1.0
Inner Richmond,2025-09,1,0,0,1,0,0,3.0
Inner Richmond,2025-10,8,1,5,0,2,0,2.125
Inner Richmond,2025-11,4,0,3,0,1,0,1.0
Inner Richmond,2025-12,5,0,5,0,0,0,1.0
Inner Sunset,2024-01,3,0,2,0,1,0,2.0
Inner Sunset,2024-02,11,1,8,2,0,0,1.5454545454545454
Inner Sunset,2024-03,7,0,2,3,2,0,1.8571428571428572
Inner Sunset,2024-04,6,0,3,1,2,0,1.3333333333333333
Inner Sunset,2024-05,3,1,2,0,0,0,4.0
Inner Sunset,2024-06,4,0,3,0,1,0,1.25
Inner Sunset,2024-07,1,0,1,0,0,0,1.0
Inner Sunset,2024-08,6,0,5,0,1,0,1.0
Inner Sunset,2024-09,3,0,0,1,2,0,1.6666666666666667
Inner Sunset,2024-10,5,2,1,0,2,0,7.2
Inner Sunset,2024-11,7,1,2,3,1,0,2.7142857142857144
Inner Sunset,2024-12,6,1,2,1,2,0,4.5
Inner Sunset,2025-01,3,0,1,2,0,0,1.6666666666666667
Inner Sunset,2025-02,11,2,8,0,1,0,1.7272727272727273
Inner Sunset,2025-03,6,2,2,0,2,0,2.8333333333333335
Inner Sunset,2025-04,2,0,2,0,0,0,2.0
Inner Sunset,2025-05,7,1,3,0,3,0,2.2857142857142856
Inner Sunset,2025-06,7,0,6,1,0,0,3.2857142857142856
Inner Sunset,2025-07,2,0,0,0,2,0,1.0
Inner Sunset,2025-08,4,0,3,0,1,0,1.25
Inner Sunset,2025-09,5,0,1,1,3,0,1.2
Inner Sunset,2025-10,3,0,2,0,1,0,2.3333333333333335
Inner Sunset,2025-11,3,0,0,1,2,0,2.0
Inner Sunset,2025-12,8,1,7,0,0,0,3.125
Japantown,2024-02,2,0,1,0,1,0,1.0
Japantown,2024-03,1,0,1,0,0,0,1.0
Japantown,2024-05,1,1,0,0,0,0,20.0
Japantown,2024-06,2,1,0,1,0,0,2.5
Japantown,2024-07,2,1,0,0,1,0,1.0
Japantown,2024-09,1,0,0,1,0,0,3.0
Japantown,2024-11,1,0,0,1,0,0,3.0
Japantown,2024-12,1,0,0,0,1,0,4.0
Japantown,2025-01,1,0,0,1,0,0,1.0
